GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:
9700000US4209780,4209780,"Fleetwood Area School District, Pennsylvania",16685,26,16151,222,103,64,115,96,131,111
9700000US4209870,4209870,"Forbes Road School District, Pennsylvania",2923,195,2882,196,2,6,2,6,8,7
9700000US4209930,4209930,"Forest City Regional School District, Pennsylvania",5834,387,5730,389,5,7,40,30,40,25
9700000US4209940,4209940,"Forest Hills School District, Pennsylvania",12562,198,12408,285,0,16,0,16,19,15
9700000US4209960,4209960,"Fort Cherry School District, Pennsylvania",8598,274,8429,275,44,28,28,30,68,42
9700000US4209990,4209990,"Fort LeBoeuf School District, Pennsylvania",14282,359,13862,419,185,118,11,9,170,127
9700000US4210070,4210070,"Fox Chapel Area School District, Pennsylvania",28829,155,25701,541,696,330,1342,280,815,249
9700000US4210110,4210110,"North Schuylkill School District, Pennsylvania",16661,322,15546,364,776,105,56,32,114,60
9700000US4210115,4210115,"North Star School District, Pennsylvania",9125,296,9013,306,21,29,0,15,65,60
9700000US4210200,4210200,"Franklin Area School District, Pennsylvania",16481,237,15810,253,258,88,60,41,329,122
9700000US4210230,4210230,"Franklin Regional School District, Pennsylvania",23259,219,22041,379,81,57,886,296,216,136
9700000US4210350,4210350,"Frazier School District, Pennsylvania",8312,362,8065,381,91,65,0,15,156,79
9700000US4210380,4210380,"Freedom Area School District, Pennsylvania",11071,194,10604,240,237,129,82,57,137,91
9700000US4210440,4210440,"Freeport Area School District, Pennsylvania",11664,170,11576,182,22,31,0,16,55,57
9700000US4210530,4210530,"Galeton Area School District, Pennsylvania",2960,185,2885,181,5,7,16,14,36,25
9700000US4210590,4210590,"Garnet Valley School District, Pennsylvania",28662,38,25108,490,1642,399,1339,264,524,268
9700000US4210620,4210620,"Gateway School District, Pennsylvania",31656,30,25012,552,4036,515,1575,456,840,241
9700000US4210650,4210650,"General McLane School District, Pennsylvania",17431,214,16870,259,209,84,181,118,111,63
9700000US4210710,4210710,"Gettysburg Area School District, Pennsylvania",27587,290,24599,488,948,167,420,144,756,238
9700000US4210740,4210740,"Girard School District, Pennsylvania",11183,33,11010,103,39,56,0,16,99,80
9700000US4210830,4210830,"Glendale School District, Pennsylvania",5643,270,5590,271,22,24,2,4,21,23
9700000US4210860,4210860,"Governor Mifflin School District, Pennsylvania",30951,39,27205,630,662,273,633,275,759,274
9700000US4210870,4210870,"Great Valley School District, Pennsylvania",29975,45,25796,608,1175,326,2121,327,429,163
9700000US4210920,4210920,"Greensburg Salem School District, Pennsylvania",26047,303,24316,455,699,173,230,174,753,241
9700000US4210950,4210950,"Greater Johnstown School District, Pennsylvania",27440,218,22963,432,2708,343,161,85,1479,296
9700000US4210980,4210980,"Greater Latrobe School District, Pennsylvania",31156,87,30426,212,277,122,124,75,244,137
9700000US4211010,4211010,"Greencastle-Antrim School District, Pennsylvania",19031,29,18177,303,504,262,113,66,190,117
9700000US4211160,4211160,"Greenville Area School District, Pennsylvania",10697,173,10137,288,319,190,45,32,69,48
9700000US4211190,4211190,"Greenwood School District, Pennsylvania",5290,224,5158,222,24,17,10,11,65,49
9700000US4211220,4211220,"Grove City Area School District, Pennsylvania",17489,223,16472,398,499,248,257,158,244,113
9700000US4211310,4211310,"Halifax Area School District, Pennsylvania",7916,281,7752,281,41,52,43,31,66,44
9700000US4211340,4211340,"Hamburg Area School District, Pennsylvania",17523,335,16731,560,412,427,70,41,61,35
9700000US4211400,4211400,"Hampton Township School District, Pennsylvania",18386,32,17614,307,71,58,571,302,50,41
9700000US4211420,4211420,"Hanover Area School District, Pennsylvania",15401,95,14932,181,249,120,42,31,139,81
9700000US4211450,4211450,"Hanover Public School District, Pennsylvania",15332,25,14036,502,166,120,174,123,385,231
9700000US4211490,4211490,"Harbor Creek School District, Pennsylvania",17250,39,16426,271,406,219,199,88,158,81
9700000US4211520,4211520,"Harmony Area School District, Pennsylvania",2301,159,2264,160,0,10,11,18,24,29
9700000US4211580,4211580,"Harrisburg City School District, Pennsylvania",49395,62,17250,1008,24724,970,1662,370,2607,576
9700000US4211610,4211610,"Hatboro-Horsham School District, Pennsylvania",33634,62,30053,643,1012,381,1942,367,439,186
9700000US4211670,4211670,"Haverford Township School District, Pennsylvania",48598,37,44311,521,1268,313,2060,369,725,232
9700000US4211700,4211700,"Hazleton Area School District, Pennsylvania",73310,536,64037,1072,1990,581,516,228,1320,351
9700000US4211730,4211730,"Saucon Valley School District, Pennsylvania",16670,24,16353,186,41,35,134,102,26,24
9700000US4211760,4211760,"Hempfield Area School District, Pennsylvania",50928,524,48776,609,995,326,339,168,522,202
9700000US4211790,4211790,"Hempfield School District, Pennsylvania",47249,29,42992,667,1069,374,1435,346,824,318
9700000US4211820,4211820,"Hermitage School District, Pennsylvania",16262,23,15344,268,569,232,83,64,206,88
9700000US4211880,4211880,"Highlands School District, Pennsylvania",20669,144,18981,498,1083,383,101,70,465,255
9700000US4211940,4211940,"Hollidaysburg Area School District, Pennsylvania",27075,218,26386,302,141,106,237,121,301,132
9700000US4212030,4212030,"Hopewell Area School District, Pennsylvania",18064,141,17439,226,365,145,13,13,179,69
9700000US4212090,4212090,"Huntingdon Area School District, Pennsylvania",20424,263,17571,291,2224,159,127,51,376,115
9700000US4212150,4212150,"Indiana Area School District, Pennsylvania",32991,92,29532,273,1925,160,810,151,411,116
