GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - No vehicle available,Margin of Error; Owner occupied: - No vehicle available,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - No vehicle available,Margin of Error; Renter occupied: - No vehicle available
9700000US4210620,4210620,"Gateway School District, Pennsylvania",14128,305,9210,362,145,52,4918,308,867,192
9700000US4210650,4210650,"General McLane School District, Pennsylvania",6722,363,4634,302,64,37,2088,326,215,144
9700000US4210710,4210710,"Gettysburg Area School District, Pennsylvania",10197,280,7156,293,164,84,3041,302,386,150
9700000US4210740,4210740,"Girard School District, Pennsylvania",4306,228,3451,222,69,41,855,198,147,85
9700000US4210830,4210830,"Glendale School District, Pennsylvania",2205,111,1827,108,58,23,378,60,50,21
9700000US4210860,4210860,"Governor Mifflin School District, Pennsylvania",12970,304,9458,308,116,57,3512,272,498,188
9700000US4210870,4210870,"Great Valley School District, Pennsylvania",10902,313,8751,306,96,45,2151,249,140,77
9700000US4210920,4210920,"Greensburg Salem School District, Pennsylvania",11929,274,7083,317,271,84,4846,325,1114,216
9700000US4210950,4210950,"Greater Johnstown School District, Pennsylvania",13089,354,7559,336,601,127,5530,313,2519,204
9700000US4210980,4210980,"Greater Latrobe School District, Pennsylvania",12514,345,9552,398,391,120,2962,260,533,153
9700000US4211010,4211010,"Greencastle-Antrim School District, Pennsylvania",7393,224,5809,283,110,56,1584,231,70,55
9700000US4211160,4211160,"Greenville Area School District, Pennsylvania",4267,199,2827,192,89,43,1440,199,174,73
9700000US4211190,4211190,"Greenwood School District, Pennsylvania",2102,80,1709,80,54,22,393,59,20,17
9700000US4211220,4211220,"Grove City Area School District, Pennsylvania",6047,293,4423,250,120,62,1624,206,224,70
9700000US4211310,4211310,"Halifax Area School District, Pennsylvania",3086,134,2450,172,71,33,636,123,75,41
9700000US4211340,4211340,"Hamburg Area School District, Pennsylvania",6948,198,5384,202,159,55,1564,196,232,88
9700000US4211400,4211400,"Hampton Township School District, Pennsylvania",7004,213,6099,273,120,81,905,191,151,76
9700000US4211420,4211420,"Hanover Area School District, Pennsylvania",6758,213,4688,202,295,90,2070,215,475,116
9700000US4211450,4211450,"Hanover Public School District, Pennsylvania",6571,241,3721,253,186,90,2850,217,481,131
9700000US4211490,4211490,"Harbor Creek School District, Pennsylvania",5935,228,4932,254,126,59,1003,171,242,80
9700000US4211520,4211520,"Harmony Area School District, Pennsylvania",878,63,733,63,10,7,145,35,26,15
9700000US4211580,4211580,"Harrisburg City School District, Pennsylvania",20726,503,8451,452,806,178,12275,552,4756,466
9700000US4211610,4211610,"Hatboro-Horsham School District, Pennsylvania",12408,277,9348,366,192,109,3060,269,288,128
9700000US4211670,4211670,"Haverford Township School District, Pennsylvania",17659,301,15059,347,396,103,2600,255,482,121
9700000US4211700,4211700,"Hazleton Area School District, Pennsylvania",29341,495,20235,514,1045,156,9106,415,2120,251
9700000US4211730,4211730,"Saucon Valley School District, Pennsylvania",6500,208,5421,206,176,104,1079,190,221,70
9700000US4211760,4211760,"Hempfield Area School District, Pennsylvania",20418,490,16081,465,427,119,4337,388,758,184
9700000US4211790,4211790,"Hempfield School District, Pennsylvania",18514,341,14603,414,210,92,3911,366,313,127
9700000US4211820,4211820,"Hermitage School District, Pennsylvania",7237,239,5259,237,81,49,1978,200,378,118
9700000US4211880,4211880,"Highlands School District, Pennsylvania",8764,247,5642,317,231,88,3122,300,984,191
9700000US4211940,4211940,"Hollidaysburg Area School District, Pennsylvania",11301,292,8449,385,221,95,2852,314,415,131
9700000US4212030,4212030,"Hopewell Area School District, Pennsylvania",7485,203,6208,233,268,68,1277,200,127,54
9700000US4212090,4212090,"Huntingdon Area School District, Pennsylvania",6866,257,4898,258,153,52,1968,227,435,139
9700000US4212150,4212150,"Indiana Area School District, Pennsylvania",12837,450,7174,341,221,84,5663,414,1195,253
9700000US4212170,4212170,"Interboro School District, Pennsylvania",9376,297,6317,293,353,99,3059,275,464,176
9700000US4212210,4212210,"Iroquois School District, Pennsylvania",2684,136,2112,176,89,51,572,101,75,47
9700000US4212300,4212300,"Jamestown Area School District, Pennsylvania",1794,103,1516,86,82,28,278,70,45,25
9700000US4212330,4212330,"Jeannette City School District, Pennsylvania",4448,203,2842,199,193,76,1606,194,343,111
9700000US4212390,4212390,"Jefferson-Morgan School District, Pennsylvania",2529,115,2047,120,76,39,482,111,77,45
9700000US4212420,4212420,"Jenkintown School District, Pennsylvania",1936,128,1350,174,117,67,586,145,106,103
9700000US4212480,4212480,"Jersey Shore Area School District, Pennsylvania",7068,228,5501,254,166,55,1567,167,251,96
9700000US4212540,4212540,"Jim Thorpe Area School District, Pennsylvania",5914,294,4949,316,307,101,965,226,65,41
9700000US4212570,4212570,"Johnsonburg Area School District, Pennsylvania",2061,122,1614,131,79,42,447,80,79,52
9700000US4212600,4212600,"Juniata County School District, Pennsylvania",9027,207,6867,220,231,66,2160,218,340,83
9700000US4212630,4212630,"Juniata Valley School District, Pennsylvania",2155,98,1756,97,58,29,399,62,33,16
9700000US4212660,4212660,"Kane Area School District, Pennsylvania",3239,147,2346,150,84,36,893,137,201,69
9700000US4212690,4212690,"Kennett Consolidated School District, Pennsylvania",9786,330,6807,299,122,65,2979,293,520,182
9700000US4212720,4212720,"Keystone School District, Pennsylvania",3050,101,2432,93,112,37,618,78,81,28
9700000US4212725,4212725,"Keystone Central School District, Pennsylvania",14064,269,9958,260,415,79,4106,267,844,168
9700000US4212750,4212750,"Keystone Oaks School District, Pennsylvania",9632,252,6139,265,304,80,3493,280,793,170
9700000US4212840,4212840,"Kiski Area School District, Pennsylvania",11943,256,9351,300,356,80,2592,228,555,134
9700000US4212930,4212930,"Kutztown Area School District, Pennsylvania",5898,291,4313,290,119,68,1585,176,228,85
9700000US4212990,4212990,"Lackawanna Trail School District, Pennsylvania",3274,128,2691,131,42,23,583,78,88,35
9700000US4213020,4213020,"Lake-Lehman School District, Pennsylvania",5848,182,5086,195,91,38,762,115,33,21
9700000US4213050,4213050,"Lakeland School District, Pennsylvania",5148,180,4245,207,120,57,903,139,143,67
9700000US4213080,4213080,"Lakeview School District, Pennsylvania",3351,104,2823,102,199,38,528,66,71,25
9700000US4213110,4213110,"Lampeter-Strasburg School District, Pennsylvania",8671,290,6341,290,270,88,2330,309,383,154
9700000US4213140,4213140,"Lancaster School District, Pennsylvania",28559,645,13382,607,810,177,15177,649,4491,465
9700000US4213290,4213290,"Homer-Center School District, Pennsylvania",2588,143,1998,174,70,40,590,145,48,45
9700000US4213320,4213320,"Laurel Highlands School District, Pennsylvania",9544,275,6738,300,241,100,2806,325,456,141
9700000US4213380,4213380,"Laurel School District, Pennsylvania",3095,123,2583,152,108,47,512,101,56,36
9700000US4213440,4213440,"Lebanon School District, Pennsylvania",10311,361,4706,308,356,109,5605,360,1927,354
9700000US4213470,4213470,"Leechburg Area School District, Pennsylvania",2639,116,2062,121,106,36,577,96,154,51
9700000US4213500,4213500,"Lehighton Area School District, Pennsylvania",7018,253,5339,271,200,78,1679,204,332,126
9700000US4213590,4213590,"Lewisburg Area School District, Pennsylvania",6171,317,3936,325,39,30,2235,240,396,139
9700000US4213710,4213710,"Ligonier Valley School District, Pennsylvania",6864,215,5489,214,117,43,1375,163,272,104
9700000US4213770,4213770,"Penn Cambria School District, Pennsylvania",5234,228,4071,184,187,38,1163,126,147,38
9700000US4213980,4213980,"Littlestown Area School District, Pennsylvania",5663,209,4383,249,69,36,1280,203,169,82
9700000US4214100,4214100,"Lower Dauphin School District, Pennsylvania",9422,275,7440,290,132,61,1982,240,203,69
9700000US4214160,4214160,"Lower Merion School District, Pennsylvania",23957,368,18042,427,629,144,5915,359,793,179
9700000US4214190,4214190,"Lower Moreland Township School District, Pennsylvania",4524,154,3866,177,27,23,658,96,141,63
9700000US4214250,4214250,"Methacton School District, Pennsylvania",12251,336,9514,347,189,65,2737,287,262,80
9700000US4214310,4214310,"Loyalsock Township School District, Pennsylvania",5125,213,3930,239,87,96,1195,217,304,131
9700000US4214430,4214430,"Mahanoy Area School District, Pennsylvania",3319,200,2632,193,198,70,687,156,213,75
9700000US4214460,4214460,"Line Mountain School District, Pennsylvania",3634,135,2973,124,142,48,661,96,82,27
9700000US4214550,4214550,"Manheim Central School District, Pennsylvania",9415,250,7468,290,226,96,1947,274,193,108
