GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
9700000US4213470,4213470,"Leechburg Area School District, Pennsylvania",2639,116,44574,4639
9700000US4213500,4213500,"Lehighton Area School District, Pennsylvania",7018,253,51006,3985
9700000US4213590,4213590,"Lewisburg Area School District, Pennsylvania",6171,317,48903,1839
9700000US4213710,4213710,"Ligonier Valley School District, Pennsylvania",6864,215,48482,3108
9700000US4213770,4213770,"Penn Cambria School District, Pennsylvania",5234,228,45887,1950
9700000US4213980,4213980,"Littlestown Area School District, Pennsylvania",5663,209,62906,3693
9700000US4214100,4214100,"Lower Dauphin School District, Pennsylvania",9422,275,67605,4369
9700000US4214160,4214160,"Lower Merion School District, Pennsylvania",23957,368,111823,4143
9700000US4214190,4214190,"Lower Moreland Township School District, Pennsylvania",4524,154,100260,8977
9700000US4214250,4214250,"Methacton School District, Pennsylvania",12251,336,97061,4951
9700000US4214310,4214310,"Loyalsock Township School District, Pennsylvania",5125,213,47160,4257
9700000US4214430,4214430,"Mahanoy Area School District, Pennsylvania",3319,200,35768,5803
9700000US4214460,4214460,"Line Mountain School District, Pennsylvania",3634,135,48102,1905
9700000US4214550,4214550,"Manheim Central School District, Pennsylvania",9415,250,62301,3381
9700000US4214580,4214580,"Manheim Township School District, Pennsylvania",15243,324,67341,4439
9700000US4214730,4214730,"Marion Center Area School District, Pennsylvania",3841,138,51003,3071
9700000US4214760,4214760,"Marple Newtown School District, Pennsylvania",12925,308,81581,6186
9700000US4214790,4214790,"Mars Area School District, Pennsylvania",7464,266,82770,8666
9700000US4214850,4214850,"Central Fulton School District, Pennsylvania",2618,89,47344,3689
9700000US4214880,4214880,"McGuffey School District, Pennsylvania",4910,142,55118,3874
9700000US4214940,4214940,"McKeesport Area School District, Pennsylvania",13871,396,34061,2132
9700000US4215030,4215030,"Mechanicsburg Area School District, Pennsylvania",11585,351,62205,1907
9700000US4215120,4215120,"Mercer Area School District, Pennsylvania",3747,143,50102,3601
9700000US4215150,4215150,"Meyersdale Area School District, Pennsylvania",2722,99,43528,2306
9700000US4215170,4215170,"Mid Valley School District, Pennsylvania",6621,222,43653,2942
9700000US4215210,4215210,"Midd-West School District, Pennsylvania",6404,195,44658,1882
9700000US4215240,4215240,"Middletown Area School District, Pennsylvania",7336,286,53295,5240
9700000US4215270,4215270,"Midland Borough School District, Pennsylvania",1130,110,24945,6929
9700000US4215290,4215290,"Mifflin County School District, Pennsylvania",17446,360,40296,1575
9700000US4215330,4215330,"Millcreek Township School District, Pennsylvania",22326,395,56379,2232
9700000US4215360,4215360,"Millersburg Area School District, Pennsylvania",2930,184,52571,2635
9700000US4215450,4215450,"Millville Area School District, Pennsylvania",2258,74,47083,2597
9700000US4215480,4215480,"Milton Area School District, Pennsylvania",7150,238,44567,2249
9700000US4215510,4215510,"Minersville Area School District, Pennsylvania",3829,148,43471,5049
9700000US4215540,4215540,"Mohawk Area School District, Pennsylvania",4275,149,47873,2632
9700000US4215600,4215600,"Monessen City School District, Pennsylvania",3603,201,31225,2808
9700000US4215660,4215660,"Montgomery Area School District, Pennsylvania",2305,135,47758,3003
9700000US4215720,4215720,"Montour School District, Pennsylvania",11166,226,66114,3682
9700000US4215750,4215750,"Montoursville Area School District, Pennsylvania",5562,218,54061,2891
9700000US4215810,4215810,"Montrose Area School District, Pennsylvania",4813,164,51980,3122
9700000US4215830,4215830,"Moon Area School District, Pennsylvania",10913,371,65385,5813
9700000US4215900,4215900,"Morrisville Borough School District, Pennsylvania",3586,262,56269,3763
9700000US4215960,4215960,"Moshannon Valley School District, Pennsylvania",2696,159,39067,2846
9700000US4215990,4215990,"Mount Carmel Area School District, Pennsylvania",5750,237,35515,2531
9700000US4216020,4216020,"Mount Union Area School District, Pennsylvania",4063,195,38132,3938
9700000US4216050,4216050,"Mountain View School District, Pennsylvania",3492,145,51173,3020
9700000US4216110,4216110,"Mt. Lebanon School District, Pennsylvania",13920,323,76040,5220
9700000US4216170,4216170,"Mount Pleasant Area School District, Pennsylvania",7628,231,46608,4107
9700000US4216200,4216200,"Muhlenberg School District, Pennsylvania",9382,221,59132,3073
9700000US4216230,4216230,"Muncy School District, Pennsylvania",2983,168,45236,7580
9700000US4216290,4216290,"Greater Nanticoke Area School District, Pennsylvania",7814,292,37057,2863
9700000US4216380,4216380,"Nazareth Area School District, Pennsylvania",9948,217,75646,3482
9700000US4216410,4216410,"Neshaminy School District, Pennsylvania",25311,441,78062,2973
9700000US4216440,4216440,"Neshannock Township School District, Pennsylvania",4326,190,56840,9276
9700000US4216500,4216500,"Woodland Hills School District, Pennsylvania",22048,536,42124,1974
9700000US4216530,4216530,"New Brighton Area School District, Pennsylvania",4676,204,38633,3829
9700000US4216620,4216620,"New Castle Area School District, Pennsylvania",10106,310,29698,1638
9700000US4216740,4216740,"New Kensington-Arnold School District, Pennsylvania",8270,257,33209,3961
9700000US4216860,4216860,"New Hope-Solebury School District, Pennsylvania",4673,149,104538,13768
9700000US4216890,4216890,"Newport School District, Pennsylvania",3119,111,50088,2489
9700000US4216980,4216980,"Norristown Area School District, Pennsylvania",25802,520,57228,2575
9700000US4217010,4217010,"North Allegheny School District, Pennsylvania",19158,392,95326,2773
9700000US4217100,4217100,"Moniteau School District, Pennsylvania",3681,128,48082,2669
9700000US4217130,4217130,"North Clarion County School District, Pennsylvania",1945,96,46725,4763
9700000US4217160,4217160,"North East School District, Pennsylvania",4068,153,46622,2501
9700000US4217220,4217220,"North Hills School District, Pennsylvania",17012,334,60193,1658
9700000US4217280,4217280,"North Penn School District, Pennsylvania",38724,496,79002,1950
