GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,With a disability; Estimate; Total civilian noninstitutionalized population,With a disability; Margin of Error; Total civilian noninstitutionalized population,Percent with a disability; Estimate; Total civilian noninstitutionalized population,Percent with a disability; Margin of Error; Total civilian noninstitutionalized population
9700000US4216290,4216290,"Greater Nanticoke Area School District, Pennsylvania",17637,368,3669,387,20.8,2.2
9700000US4216380,4216380,"Nazareth Area School District, Pennsylvania",27171,179,3033,350,11.2,1.3
9700000US4216410,4216410,"Neshaminy School District, Pennsylvania",69874,327,7494,596,10.7,0.9
9700000US4216440,4216440,"Neshannock Township School District, Pennsylvania",9533,27,1367,286,14.3,3.0
9700000US4216500,4216500,"Woodland Hills School District, Pennsylvania",46958,508,6920,472,14.7,1.0
9700000US4216530,4216530,"New Brighton Area School District, Pennsylvania",10764,173,2055,280,19.1,2.6
9700000US4216620,4216620,"New Castle Area School District, Pennsylvania",23344,254,4441,359,19.0,1.5
9700000US4216740,4216740,"New Kensington-Arnold School District, Pennsylvania",18083,48,3769,304,20.8,1.7
9700000US4216860,4216860,"New Hope-Solebury School District, Pennsylvania",11202,21,886,183,7.9,1.6
9700000US4216890,4216890,"Newport School District, Pennsylvania",7465,274,1079,130,14.5,1.7
9700000US4216980,4216980,"Norristown Area School District, Pennsylvania",63096,154,7050,615,11.2,1.0
9700000US4217010,4217010,"North Allegheny School District, Pennsylvania",50223,170,3976,416,7.9,0.8
9700000US4217100,4217100,"Moniteau School District, Pennsylvania",9466,231,1451,149,15.3,1.5
9700000US4217130,4217130,"North Clarion County School District, Pennsylvania",4843,307,635,102,13.1,2.3
9700000US4217160,4217160,"North East School District, Pennsylvania",10644,45,1517,254,14.3,2.4
9700000US4217220,4217220,"North Hills School District, Pennsylvania",37377,153,4237,324,11.3,0.9
9700000US4217280,4217280,"North Penn School District, Pennsylvania",98018,193,9205,705,9.4,0.7
9700000US4217310,4217310,"North Pocono School District, Pennsylvania",20545,518,2657,320,12.9,1.4
9700000US4217370,4217370,"Northampton Area School District, Pennsylvania",41651,155,5404,504,13.0,1.2
9700000US4217430,4217430,"Riverside Beaver County School District, Pennsylvania",10473,154,1240,176,11.8,1.7
9700000US4217460,4217460,"Northeast Bradford School District, Pennsylvania",5606,334,599,79,10.7,1.6
9700000US4217520,4217520,"Northeastern York School District, Pennsylvania",23332,468,2956,317,12.7,1.4
9700000US4217580,4217580,"Northern Bedford County School District, Pennsylvania",6961,269,962,110,13.8,1.5
9700000US4217610,4217610,"Northern Cambria School District, Pennsylvania",7753,187,1444,206,18.6,2.6
9700000US4217640,4217640,"Northern Lebanon School District, Pennsylvania",17044,215,1613,226,9.5,1.3
9700000US4217670,4217670,"Northern Lehigh School District, Pennsylvania",12940,162,1862,311,14.4,2.4
9700000US4217700,4217700,"Northern Potter School District, Pennsylvania",4556,206,802,109,17.6,2.2
9700000US4217730,4217730,"Northern Tioga School District, Pennsylvania",14226,1050,2602,190,18.3,1.4
9700000US4217760,4217760,"Northern York County School District, Pennsylvania",21233,178,2158,304,10.2,1.4
9700000US4217770,4217770,"Northgate School District, Pennsylvania",12991,47,1856,250,14.3,1.9
9700000US4217790,4217790,"Northwest Area School District, Pennsylvania",9085,316,1605,185,17.7,1.9
9700000US4217850,4217850,"Northwestern Lehigh School District, Pennsylvania",14898,144,1318,259,8.8,1.7
9700000US4217880,4217880,"Northwestern School District, Pennsylvania",9840,315,1486,147,15.1,1.5
9700000US4217940,4217940,"Norwin School District, Pennsylvania",35436,267,3633,330,10.3,0.9
9700000US4218030,4218030,"Octorara Area School District, Pennsylvania",17505,326,1471,168,8.4,1.0
9700000US4218090,4218090,"Oil City Area School District, Pennsylvania",14766,236,2753,310,18.6,2.1
9700000US4218120,4218120,"Old Forge School District, Pennsylvania",8274,28,1101,220,13.3,2.7
9700000US4218150,4218150,"Oley Valley School District, Pennsylvania",13293,261,1284,243,9.7,1.8
