GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median contract rent,Margin of Error; Median contract rent
9700000US4206390,4206390,"Commodore Perry School District, Pennsylvania",426,22
9700000US4206420,4206420,"Conemaugh Township Area School District, Pennsylvania",476,92
9700000US4206430,4206430,"Conemaugh Valley School District, Pennsylvania",359,31
9700000US4206480,4206480,"Conestoga Valley School District, Pennsylvania",817,40
9700000US4206550,4206550,"Conewago Valley School District, Pennsylvania",679,40
9700000US4206590,4206590,"Conneaut School District, Pennsylvania",439,22
9700000US4206660,4206660,"Connellsville Area School District, Pennsylvania",427,13
9700000US4206780,4206780,"Conrad Weiser Area School District, Pennsylvania",677,35
9700000US4206810,4206810,"Cornell School District, Pennsylvania",479,14
9700000US4206840,4206840,"Cornwall-Lebanon School District, Pennsylvania",734,27
9700000US4206860,4206860,"Corry Area School District, Pennsylvania",437,28
9700000US4206930,4206930,"Coudersport Area School District, Pennsylvania",533,37
9700000US4206960,4206960,"Council Rock School District, Pennsylvania",1319,70
9700000US4207050,4207050,"Cranberry Area School District, Pennsylvania",418,43
9700000US4207080,4207080,"Crawford Central School District, Pennsylvania",457,31
9700000US4207110,4207110,"Cumberland Valley School District, Pennsylvania",817,23
9700000US4207140,4207140,"Curwensville Area School District, Pennsylvania",365,34
9700000US4207200,4207200,"Dallas School District, Pennsylvania",565,56
9700000US4207230,4207230,"Dallastown Area School District, Pennsylvania",766,14
9700000US4207290,4207290,"Daniel Boone Area School District, Pennsylvania",770,27
9700000US4207320,4207320,"Danville Area School District, Pennsylvania",545,19
9700000US4207530,4207530,"Delaware Valley School District, Pennsylvania",871,46
9700000US4207540,4207540,"Deer Lakes School District, Pennsylvania",492,29
9700000US4207560,4207560,"Derry Area School District, Pennsylvania",464,38
9700000US4207590,4207590,"Derry Township School District, Pennsylvania",819,32
9700000US4207650,4207650,"Donegal School District, Pennsylvania",730,25
9700000US4207680,4207680,"Dover Area School District, Pennsylvania",637,34
9700000US4207710,4207710,"Downingtown Area School District, Pennsylvania",987,26
9700000US4207830,4207830,"DuBois Area School District, Pennsylvania",453,18
9700000US4207980,4207980,"Dunmore School District, Pennsylvania",550,34
9700000US4208010,4208010,"Duquesne City School District, Pennsylvania",438,32
9700000US4208060,4208060,"East Allegheny School District, Pennsylvania",504,31
9700000US4208280,4208280,"Forest Area School District, Pennsylvania",365,31
9700000US4208460,4208460,"Eastern Lebanon County School District, Pennsylvania",626,61
9700000US4208490,4208490,"East Lycoming School District, Pennsylvania",476,21
9700000US4208550,4208550,"East Penn School District, Pennsylvania",913,39
9700000US4208580,4208580,"East Pennsboro Area School District, Pennsylvania",698,24
9700000US4208670,4208670,"East Stroudsburg Area School District, Pennsylvania",851,69
9700000US4208790,4208790,"Eastern York School District, Pennsylvania",723,68
9700000US4208820,4208820,"Eastern Lancaster County School District, Pennsylvania",683,78
9700000US4208850,4208850,"Easton Area School District, Pennsylvania",785,24
9700000US4209090,4209090,"Elizabeth Forward School District, Pennsylvania",538,35
9700000US4209120,4209120,"Elizabethtown Area School District, Pennsylvania",732,60
9700000US4209150,4209150,"Elk Lake School District, Pennsylvania",538,46
9700000US4209240,4209240,"Ellwood City Area School District, Pennsylvania",467,14
9700000US4209270,4209270,"Ephrata Area School District, Pennsylvania",654,24
9700000US4209300,4209300,"Erie City School District, Pennsylvania",492,10
9700000US4209360,4209360,"Everett Area School District, Pennsylvania",413,32
9700000US4209480,4209480,"Exeter Township School District, Pennsylvania",885,51
9700000US4209540,4209540,"Fairfield Area School District, Pennsylvania",677,43
9700000US4209570,4209570,"Fairview School District, Pennsylvania",563,96
9700000US4209600,4209600,"Karns City Area School District, Pennsylvania",438,28
9700000US4209660,4209660,"Fannett-Metal School District, Pennsylvania",463,100
9700000US4209690,4209690,"Farrell Area School District, Pennsylvania",409,35
9700000US4209750,4209750,"Ferndale Area School District, Pennsylvania",392,24
9700000US4209780,4209780,"Fleetwood Area School District, Pennsylvania",679,33
9700000US4209870,4209870,"Forbes Road School District, Pennsylvania",426,59
9700000US4209930,4209930,"Forest City Regional School District, Pennsylvania",464,24
9700000US4209940,4209940,"Forest Hills School District, Pennsylvania",367,70
9700000US4209960,4209960,"Fort Cherry School District, Pennsylvania",483,33
9700000US4209990,4209990,"Fort LeBoeuf School District, Pennsylvania",503,53
9700000US4210070,4210070,"Fox Chapel Area School District, Pennsylvania",615,25
9700000US4210110,4210110,"North Schuylkill School District, Pennsylvania",410,25
9700000US4210115,4210115,"North Star School District, Pennsylvania",331,27
9700000US4210200,4210200,"Franklin Area School District, Pennsylvania",438,18
9700000US4210230,4210230,"Franklin Regional School District, Pennsylvania",551,62
9700000US4210350,4210350,"Frazier School District, Pennsylvania",399,33
9700000US4210380,4210380,"Freedom Area School District, Pennsylvania",604,113
9700000US4210440,4210440,"Freeport Area School District, Pennsylvania",533,30
9700000US4210530,4210530,"Galeton Area School District, Pennsylvania",452,31
9700000US4210590,4210590,"Garnet Valley School District, Pennsylvania",1637,100
9700000US4210620,4210620,"Gateway School District, Pennsylvania",717,15
9700000US4210650,4210650,"General McLane School District, Pennsylvania",564,89
9700000US4210710,4210710,"Gettysburg Area School District, Pennsylvania",647,27
9700000US4210740,4210740,"Girard School District, Pennsylvania",455,44
9700000US4210830,4210830,"Glendale School District, Pennsylvania",344,21
9700000US4210860,4210860,"Governor Mifflin School District, Pennsylvania",785,40
9700000US4210870,4210870,"Great Valley School District, Pennsylvania",1227,62
9700000US4210920,4210920,"Greensburg Salem School District, Pennsylvania",521,19
9700000US4210950,4210950,"Greater Johnstown School District, Pennsylvania",362,12
9700000US4210980,4210980,"Greater Latrobe School District, Pennsylvania",479,26
9700000US4211010,4211010,"Greencastle-Antrim School District, Pennsylvania",668,45
9700000US4211160,4211160,"Greenville Area School District, Pennsylvania",423,23
9700000US4211190,4211190,"Greenwood School District, Pennsylvania",501,52
9700000US4211220,4211220,"Grove City Area School District, Pennsylvania",529,22
9700000US4211310,4211310,"Halifax Area School District, Pennsylvania",514,32
9700000US4211340,4211340,"Hamburg Area School District, Pennsylvania",615,18
9700000US4211400,4211400,"Hampton Township School District, Pennsylvania",915,80
9700000US4211420,4211420,"Hanover Area School District, Pennsylvania",443,25
9700000US4211450,4211450,"Hanover Public School District, Pennsylvania",617,28
9700000US4211490,4211490,"Harbor Creek School District, Pennsylvania",587,51
9700000US4211520,4211520,"Harmony Area School District, Pennsylvania",335,44
9700000US4211580,4211580,"Harrisburg City School District, Pennsylvania",614,17
9700000US4211610,4211610,"Hatboro-Horsham School District, Pennsylvania",969,32
9700000US4211670,4211670,"Haverford Township School District, Pennsylvania",979,44
9700000US4211700,4211700,"Hazleton Area School District, Pennsylvania",531,14
9700000US4211730,4211730,"Saucon Valley School District, Pennsylvania",769,87
9700000US4211760,4211760,"Hempfield Area School District, Pennsylvania",540,20
9700000US4211790,4211790,"Hempfield School District, Pennsylvania",789,29
9700000US4211820,4211820,"Hermitage School District, Pennsylvania",617,22
9700000US4211880,4211880,"Highlands School District, Pennsylvania",508,33
9700000US4211940,4211940,"Hollidaysburg Area School District, Pennsylvania",619,39
9700000US4212030,4212030,"Hopewell Area School District, Pennsylvania",582,54
9700000US4212090,4212090,"Huntingdon Area School District, Pennsylvania",416,20
9700000US4212150,4212150,"Indiana Area School District, Pennsylvania",598,24
9700000US4212170,4212170,"Interboro School District, Pennsylvania",787,19
9700000US4212210,4212210,"Iroquois School District, Pennsylvania",568,35
9700000US4212300,4212300,"Jamestown Area School District, Pennsylvania",460,61
9700000US4212330,4212330,"Jeannette City School District, Pennsylvania",459,23
9700000US4212390,4212390,"Jefferson-Morgan School District, Pennsylvania",454,61
9700000US4212420,4212420,"Jenkintown School District, Pennsylvania",976,76
9700000US4212480,4212480,"Jersey Shore Area School District, Pennsylvania",505,22
9700000US4212540,4212540,"Jim Thorpe Area School District, Pennsylvania",694,110
9700000US4212570,4212570,"Johnsonburg Area School District, Pennsylvania",367,36
9700000US4212600,4212600,"Juniata County School District, Pennsylvania",435,19
9700000US4212630,4212630,"Juniata Valley School District, Pennsylvania",435,15
9700000US4212660,4212660,"Kane Area School District, Pennsylvania",379,23
9700000US4212690,4212690,"Kennett Consolidated School District, Pennsylvania",889,50
9700000US4212720,4212720,"Keystone School District, Pennsylvania",386,32
9700000US4212725,4212725,"Keystone Central School District, Pennsylvania",518,31
9700000US4212750,4212750,"Keystone Oaks School District, Pennsylvania",647,18
9700000US4212840,4212840,"Kiski Area School District, Pennsylvania",464,32
9700000US4212930,4212930,"Kutztown Area School District, Pennsylvania",690,71
9700000US4212990,4212990,"Lackawanna Trail School District, Pennsylvania",585,42
9700000US4213020,4213020,"Lake-Lehman School District, Pennsylvania",535,50
9700000US4213050,4213050,"Lakeland School District, Pennsylvania",507,27
9700000US4213080,4213080,"Lakeview School District, Pennsylvania",421,26
9700000US4213110,4213110,"Lampeter-Strasburg School District, Pennsylvania",1178,319
9700000US4213140,4213140,"Lancaster School District, Pennsylvania",645,15
9700000US4213290,4213290,"Homer-Center School District, Pennsylvania",501,34
9700000US4213320,4213320,"Laurel Highlands School District, Pennsylvania",444,23
9700000US4213380,4213380,"Laurel School District, Pennsylvania",422,60
9700000US4213440,4213440,"Lebanon School District, Pennsylvania",538,17
9700000US4213470,4213470,"Leechburg Area School District, Pennsylvania",456,34
9700000US4213500,4213500,"Lehighton Area School District, Pennsylvania",556,54
9700000US4213590,4213590,"Lewisburg Area School District, Pennsylvania",620,47
9700000US4213710,4213710,"Ligonier Valley School District, Pennsylvania",477,23
9700000US4213770,4213770,"Penn Cambria School District, Pennsylvania",420,15
9700000US4213980,4213980,"Littlestown Area School District, Pennsylvania",625,57
9700000US4214100,4214100,"Lower Dauphin School District, Pennsylvania",652,56
9700000US4214160,4214160,"Lower Merion School District, Pennsylvania",1219,38
9700000US4214190,4214190,"Lower Moreland Township School District, Pennsylvania",706,47
9700000US4214250,4214250,"Methacton School District, Pennsylvania",1107,90
9700000US4214310,4214310,"Loyalsock Township School District, Pennsylvania",577,95
9700000US4214430,4214430,"Mahanoy Area School District, Pennsylvania",478,39
9700000US4214460,4214460,"Line Mountain School District, Pennsylvania",441,19
9700000US4214550,4214550,"Manheim Central School District, Pennsylvania",779,34
9700000US4214580,4214580,"Manheim Township School District, Pennsylvania",924,33
9700000US4214730,4214730,"Marion Center Area School District, Pennsylvania",429,19
9700000US4214760,4214760,"Marple Newtown School District, Pennsylvania",993,53
9700000US4214790,4214790,"Mars Area School District, Pennsylvania",1004,555
9700000US4214850,4214850,"Central Fulton School District, Pennsylvania",455,23
9700000US4214880,4214880,"McGuffey School District, Pennsylvania",449,89
9700000US4214940,4214940,"McKeesport Area School District, Pennsylvania",470,20
9700000US4215030,4215030,"Mechanicsburg Area School District, Pennsylvania",744,30
9700000US4215120,4215120,"Mercer Area School District, Pennsylvania",431,24
9700000US4215150,4215150,"Meyersdale Area School District, Pennsylvania",362,32
9700000US4215170,4215170,"Mid Valley School District, Pennsylvania",487,16
9700000US4215210,4215210,"Midd-West School District, Pennsylvania",444,13
9700000US4215240,4215240,"Middletown Area School District, Pennsylvania",607,51
9700000US4215270,4215270,"Midland Borough School District, Pennsylvania",362,12
9700000US4215290,4215290,"Mifflin County School District, Pennsylvania",424,13
9700000US4215330,4215330,"Millcreek Township School District, Pennsylvania",660,20
9700000US4215360,4215360,"Millersburg Area School District, Pennsylvania",513,38
9700000US4215450,4215450,"Millville Area School District, Pennsylvania",511,27
9700000US4215480,4215480,"Milton Area School District, Pennsylvania",473,24
9700000US4215510,4215510,"Minersville Area School District, Pennsylvania",443,61
