GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,Number Uninsured; Estimate; Total civilian noninstitutionalized population,Number Uninsured; Margin of Error; Total civilian noninstitutionalized population,Percent Uninsured; Estimate; Total civilian noninstitutionalized population,Percent Uninsured; Margin of Error; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population
9700000US4206390,4206390,"Commodore Perry School District, Pennsylvania",4084,188,576,115,14.1,2.6,3508,181,85.9,2.6
9700000US4206420,4206420,"Conemaugh Township Area School District, Pennsylvania",8145,255,535,151,6.6,1.8,7610,283,93.4,1.8
9700000US4206430,4206430,"Conemaugh Valley School District, Pennsylvania",6555,197,554,116,8.5,1.8,6001,218,91.5,1.8
9700000US4206480,4206480,"Conestoga Valley School District, Pennsylvania",33067,69,6499,832,19.7,2.5,26568,835,80.3,2.5
9700000US4206550,4206550,"Conewago Valley School District, Pennsylvania",26896,578,2775,427,10.3,1.6,24121,635,89.7,1.6
9700000US4206590,4206590,"Conneaut School District, Pennsylvania",17883,412,2797,328,15.6,1.7,15086,407,84.4,1.7
9700000US4206660,4206660,"Connellsville Area School District, Pennsylvania",34161,374,4129,485,12.1,1.4,30032,614,87.9,1.4
9700000US4206780,4206780,"Conrad Weiser Area School District, Pennsylvania",19061,377,1788,302,9.4,1.6,17273,437,90.6,1.6
9700000US4206810,4206810,"Cornell School District, Pennsylvania",6722,85,725,183,10.8,2.7,5997,205,89.2,2.7
9700000US4206840,4206840,"Cornwall-Lebanon School District, Pennsylvania",33855,276,2944,519,8.7,1.5,30911,548,91.3,1.5
9700000US4206860,4206860,"Corry Area School District, Pennsylvania",14442,330,1970,326,13.6,2.1,12472,332,86.4,2.1
9700000US4206930,4206930,"Coudersport Area School District, Pennsylvania",5536,210,502,129,9.1,2.3,5034,233,90.9,2.3
9700000US4206960,4206960,"Council Rock School District, Pennsylvania",72257,150,1909,349,2.6,0.5,70348,400,97.4,0.5
9700000US4207050,4207050,"Cranberry Area School District, Pennsylvania",9283,188,756,171,8.1,1.8,8527,251,91.9,1.8
9700000US4207080,4207080,"Crawford Central School District, Pennsylvania",30399,306,3106,460,10.2,1.5,27293,471,89.8,1.5
9700000US4207110,4207110,"Cumberland Valley School District, Pennsylvania",54934,259,2410,388,4.4,0.7,52524,470,95.6,0.7
9700000US4207140,4207140,"Curwensville Area School District, Pennsylvania",7226,270,608,123,8.4,1.6,6618,263,91.6,1.6
9700000US4207200,4207200,"Dallas School District, Pennsylvania",20323,145,1231,278,6.1,1.4,19092,286,93.9,1.4
9700000US4207230,4207230,"Dallastown Area School District, Pennsylvania",40695,346,3191,537,7.8,1.3,37504,626,92.2,1.3
9700000US4207290,4207290,"Daniel Boone Area School District, Pennsylvania",21278,25,1411,312,6.6,1.5,19867,308,93.4,1.5
9700000US4207320,4207320,"Danville Area School District, Pennsylvania",18388,314,1386,244,7.5,1.3,17002,391,92.5,1.3
9700000US4207530,4207530,"Delaware Valley School District, Pennsylvania",28916,164,2954,472,10.2,1.6,25962,481,89.8,1.6
9700000US4207540,4207540,"Deer Lakes School District, Pennsylvania",14171,133,1085,331,7.7,2.3,13086,367,92.3,2.3
9700000US4207560,4207560,"Derry Area School District, Pennsylvania",17441,168,1407,269,8.1,1.5,16034,310,91.9,1.5
9700000US4207590,4207590,"Derry Township School District, Pennsylvania",24608,118,1749,517,7.1,2.1,22859,527,92.9,2.1
9700000US4207650,4207650,"Donegal School District, Pennsylvania",21115,496,1690,389,8.0,1.9,19425,655,92.0,1.9
