GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
9700000US4210440,4210440,"Freeport Area School District, Pennsylvania",4969,166,4621,150,348,127
9700000US4210530,4210530,"Galeton Area School District, Pennsylvania",3414,100,1268,77,2146,91
9700000US4210590,4210590,"Garnet Valley School District, Pennsylvania",10849,305,10272,251,577,213
9700000US4210620,4210620,"Gateway School District, Pennsylvania",15421,334,14128,305,1293,296
9700000US4210650,4210650,"General McLane School District, Pennsylvania",7384,370,6722,363,662,223
9700000US4210710,4210710,"Gettysburg Area School District, Pennsylvania",11124,308,10197,280,927,227
9700000US4210740,4210740,"Girard School District, Pennsylvania",4723,274,4306,228,417,183
9700000US4210830,4210830,"Glendale School District, Pennsylvania",2735,89,2205,111,530,84
9700000US4210860,4210860,"Governor Mifflin School District, Pennsylvania",13415,303,12970,304,445,163
9700000US4210870,4210870,"Great Valley School District, Pennsylvania",11376,309,10902,313,474,164
9700000US4210920,4210920,"Greensburg Salem School District, Pennsylvania",13457,327,11929,274,1528,249
9700000US4210950,4210950,"Greater Johnstown School District, Pennsylvania",15797,374,13089,354,2708,274
9700000US4210980,4210980,"Greater Latrobe School District, Pennsylvania",13854,436,12514,345,1340,283
9700000US4211010,4211010,"Greencastle-Antrim School District, Pennsylvania",7683,232,7393,224,290,122
9700000US4211160,4211160,"Greenville Area School District, Pennsylvania",4704,214,4267,199,437,144
9700000US4211190,4211190,"Greenwood School District, Pennsylvania",2391,71,2102,80,289,63
9700000US4211220,4211220,"Grove City Area School District, Pennsylvania",6469,297,6047,293,422,166
9700000US4211310,4211310,"Halifax Area School District, Pennsylvania",3373,152,3086,134,287,107
9700000US4211340,4211340,"Hamburg Area School District, Pennsylvania",7442,213,6948,198,494,138
9700000US4211400,4211400,"Hampton Township School District, Pennsylvania",7499,195,7004,213,495,176
9700000US4211420,4211420,"Hanover Area School District, Pennsylvania",7420,210,6758,213,662,149
9700000US4211450,4211450,"Hanover Public School District, Pennsylvania",7051,308,6571,241,480,156
9700000US4211490,4211490,"Harbor Creek School District, Pennsylvania",6251,242,5935,228,316,128
9700000US4211520,4211520,"Harmony Area School District, Pennsylvania",1128,58,878,63,250,44
9700000US4211580,4211580,"Harrisburg City School District, Pennsylvania",25418,516,20726,503,4692,393
9700000US4211610,4211610,"Hatboro-Horsham School District, Pennsylvania",13068,352,12408,277,660,223
9700000US4211670,4211670,"Haverford Township School District, Pennsylvania",18271,292,17659,301,612,158
9700000US4211700,4211700,"Hazleton Area School District, Pennsylvania",34379,552,29341,495,5038,423
9700000US4211730,4211730,"Saucon Valley School District, Pennsylvania",7031,227,6500,208,531,191
9700000US4211760,4211760,"Hempfield Area School District, Pennsylvania",22060,519,20418,490,1642,323
9700000US4211790,4211790,"Hempfield School District, Pennsylvania",19255,375,18514,341,741,251
9700000US4211820,4211820,"Hermitage School District, Pennsylvania",7908,281,7237,239,671,193
9700000US4211880,4211880,"Highlands School District, Pennsylvania",9943,330,8764,247,1179,259
9700000US4211940,4211940,"Hollidaysburg Area School District, Pennsylvania",12018,307,11301,292,717,231
9700000US4212030,4212030,"Hopewell Area School District, Pennsylvania",7917,229,7485,203,432,136
9700000US4212090,4212090,"Huntingdon Area School District, Pennsylvania",8670,209,6866,257,1804,164
9700000US4212150,4212150,"Indiana Area School District, Pennsylvania",14193,373,12837,450,1356,280
9700000US4212170,4212170,"Interboro School District, Pennsylvania",10181,341,9376,297,805,225
9700000US4212210,4212210,"Iroquois School District, Pennsylvania",3038,131,2684,136,354,119
9700000US4212300,4212300,"Jamestown Area School District, Pennsylvania",2979,102,1794,103,1185,86
9700000US4212330,4212330,"Jeannette City School District, Pennsylvania",5083,246,4448,203,635,178
9700000US4212390,4212390,"Jefferson-Morgan School District, Pennsylvania",2788,120,2529,115,259,88
9700000US4212420,4212420,"Jenkintown School District, Pennsylvania",1998,146,1936,128,62,81
9700000US4212480,4212480,"Jersey Shore Area School District, Pennsylvania",8736,221,7068,228,1668,127
9700000US4212540,4212540,"Jim Thorpe Area School District, Pennsylvania",11297,271,5914,294,5383,321
9700000US4212570,4212570,"Johnsonburg Area School District, Pennsylvania",2730,103,2061,122,669,87
9700000US4212600,4212600,"Juniata County School District, Pennsylvania",10721,75,9027,207,1694,188
9700000US4212630,4212630,"Juniata Valley School District, Pennsylvania",2552,92,2155,98,397,60
9700000US4212660,4212660,"Kane Area School District, Pennsylvania",4395,166,3239,147,1156,125
9700000US4212690,4212690,"Kennett Consolidated School District, Pennsylvania",10216,359,9786,330,430,203
9700000US4212720,4212720,"Keystone School District, Pennsylvania",3440,88,3050,101,390,77
9700000US4212725,4212725,"Keystone Central School District, Pennsylvania",18385,237,14064,269,4321,232
9700000US4212750,4212750,"Keystone Oaks School District, Pennsylvania",10266,267,9632,252,634,199
9700000US4212840,4212840,"Kiski Area School District, Pennsylvania",13001,290,11943,256,1058,211
9700000US4212930,4212930,"Kutztown Area School District, Pennsylvania",6455,314,5898,291,557,144
9700000US4212990,4212990,"Lackawanna Trail School District, Pennsylvania",3844,124,3274,128,570,89
9700000US4213020,4213020,"Lake-Lehman School District, Pennsylvania",7039,222,5848,182,1191,134
9700000US4213050,4213050,"Lakeland School District, Pennsylvania",5718,184,5148,180,570,146
