GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
9700000US4210380,4210380,"Freedom Area School District, Pennsylvania",4723,167,3705,222,1018,151
9700000US4210440,4210440,"Freeport Area School District, Pennsylvania",4621,150,3913,161,708,141
9700000US4210530,4210530,"Galeton Area School District, Pennsylvania",1268,77,956,65,312,48
9700000US4210590,4210590,"Garnet Valley School District, Pennsylvania",10272,251,8121,314,2151,269
9700000US4210620,4210620,"Gateway School District, Pennsylvania",14128,305,9210,362,4918,308
9700000US4210650,4210650,"General McLane School District, Pennsylvania",6722,363,4634,302,2088,326
9700000US4210710,4210710,"Gettysburg Area School District, Pennsylvania",10197,280,7156,293,3041,302
9700000US4210740,4210740,"Girard School District, Pennsylvania",4306,228,3451,222,855,198
9700000US4210830,4210830,"Glendale School District, Pennsylvania",2205,111,1827,108,378,60
9700000US4210860,4210860,"Governor Mifflin School District, Pennsylvania",12970,304,9458,308,3512,272
9700000US4210870,4210870,"Great Valley School District, Pennsylvania",10902,313,8751,306,2151,249
9700000US4210920,4210920,"Greensburg Salem School District, Pennsylvania",11929,274,7083,317,4846,325
9700000US4210950,4210950,"Greater Johnstown School District, Pennsylvania",13089,354,7559,336,5530,313
9700000US4210980,4210980,"Greater Latrobe School District, Pennsylvania",12514,345,9552,398,2962,260
9700000US4211010,4211010,"Greencastle-Antrim School District, Pennsylvania",7393,224,5809,283,1584,231
9700000US4211160,4211160,"Greenville Area School District, Pennsylvania",4267,199,2827,192,1440,199
9700000US4211190,4211190,"Greenwood School District, Pennsylvania",2102,80,1709,80,393,59
9700000US4211220,4211220,"Grove City Area School District, Pennsylvania",6047,293,4423,250,1624,206
9700000US4211310,4211310,"Halifax Area School District, Pennsylvania",3086,134,2450,172,636,123
9700000US4211340,4211340,"Hamburg Area School District, Pennsylvania",6948,198,5384,202,1564,196
9700000US4211400,4211400,"Hampton Township School District, Pennsylvania",7004,213,6099,273,905,191
9700000US4211420,4211420,"Hanover Area School District, Pennsylvania",6758,213,4688,202,2070,215
9700000US4211450,4211450,"Hanover Public School District, Pennsylvania",6571,241,3721,253,2850,217
9700000US4211490,4211490,"Harbor Creek School District, Pennsylvania",5935,228,4932,254,1003,171
9700000US4211520,4211520,"Harmony Area School District, Pennsylvania",878,63,733,63,145,35
9700000US4211580,4211580,"Harrisburg City School District, Pennsylvania",20726,503,8451,452,12275,552
9700000US4211610,4211610,"Hatboro-Horsham School District, Pennsylvania",12408,277,9348,366,3060,269
9700000US4211670,4211670,"Haverford Township School District, Pennsylvania",17659,301,15059,347,2600,255
9700000US4211700,4211700,"Hazleton Area School District, Pennsylvania",29341,495,20235,514,9106,415
9700000US4211730,4211730,"Saucon Valley School District, Pennsylvania",6500,208,5421,206,1079,190
