GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
9700000US4212300,4212300,"Jamestown Area School District, Pennsylvania",4502,314,21,16
9700000US4212330,4212330,"Jeannette City School District, Pennsylvania",9530,53,62,46
9700000US4212390,4212390,"Jefferson-Morgan School District, Pennsylvania",6084,213,41,51
9700000US4212420,4212420,"Jenkintown School District, Pennsylvania",4426,33,147,120
9700000US4212480,4212480,"Jersey Shore Area School District, Pennsylvania",18674,544,149,64
9700000US4212540,4212540,"Jim Thorpe Area School District, Pennsylvania",15796,263,1008,217
9700000US4212570,4212570,"Johnsonburg Area School District, Pennsylvania",4708,230,50,35
9700000US4212600,4212600,"Juniata County School District, Pennsylvania",24081,113,639,19
9700000US4212630,4212630,"Juniata Valley School District, Pennsylvania",5349,266,57,36
9700000US4212660,4212660,"Kane Area School District, Pennsylvania",7377,222,92,63
9700000US4212690,4212690,"Kennett Consolidated School District, Pennsylvania",27277,282,6408,729
9700000US4212720,4212720,"Keystone School District, Pennsylvania",7508,289,28,40
9700000US4212725,4212725,"Keystone Central School District, Pennsylvania",37114,441,412,44
9700000US4212750,4212750,"Keystone Oaks School District, Pennsylvania",20676,202,491,221
9700000US4212840,4212840,"Kiski Area School District, Pennsylvania",28841,324,192,91
9700000US4212930,4212930,"Kutztown Area School District, Pennsylvania",18719,220,819,291
9700000US4212990,4212990,"Lackawanna Trail School District, Pennsylvania",8741,419,153,71
9700000US4213020,4213020,"Lake-Lehman School District, Pennsylvania",16973,244,376,106
9700000US4213050,4213050,"Lakeland School District, Pennsylvania",12437,325,218,138
9700000US4213080,4213080,"Lakeview School District, Pennsylvania",8459,262,29,17
9700000US4213110,4213110,"Lampeter-Strasburg School District, Pennsylvania",22941,158,465,225
9700000US4213140,4213140,"Lancaster School District, Pennsylvania",75291,175,26619,1013
9700000US4213290,4213290,"Homer-Center School District, Pennsylvania",6447,116,118,109
9700000US4213320,4213320,"Laurel Highlands School District, Pennsylvania",23389,33,199,108
9700000US4213380,4213380,"Laurel School District, Pennsylvania",8031,258,68,48
9700000US4213440,4213440,"Lebanon School District, Pennsylvania",26416,147,8816,518
9700000US4213470,4213470,"Leechburg Area School District, Pennsylvania",5982,289,19,24
9700000US4213500,4213500,"Lehighton Area School District, Pennsylvania",17935,198,312,159
9700000US4213590,4213590,"Lewisburg Area School District, Pennsylvania",19005,141,1019,232
9700000US4213710,4213710,"Ligonier Valley School District, Pennsylvania",15651,411,167,129
9700000US4213770,4213770,"Penn Cambria School District, Pennsylvania",17103,337,506,115
9700000US4213980,4213980,"Littlestown Area School District, Pennsylvania",15000,502,275,188
9700000US4214100,4214100,"Lower Dauphin School District, Pennsylvania",24888,29,753,471
9700000US4214160,4214160,"Lower Merion School District, Pennsylvania",62298,47,2327,442
9700000US4214190,4214190,"Lower Moreland Township School District, Pennsylvania",13055,39,129,95
9700000US4214250,4214250,"Methacton School District, Pennsylvania",35371,72,961,404
9700000US4214310,4214310,"Loyalsock Township School District, Pennsylvania",11109,26,95,78
9700000US4214430,4214430,"Mahanoy Area School District, Pennsylvania",11556,271,560,174
9700000US4214460,4214460,"Line Mountain School District, Pennsylvania",8685,306,42,30
9700000US4214550,4214550,"Manheim Central School District, Pennsylvania",24456,32,1094,397
9700000US4214580,4214580,"Manheim Township School District, Pennsylvania",38450,62,3166,565
9700000US4214730,4214730,"Marion Center Area School District, Pennsylvania",10365,327,9,13
9700000US4214760,4214760,"Marple Newtown School District, Pennsylvania",35725,52,864,564
9700000US4214790,4214790,"Mars Area School District, Pennsylvania",19314,286,254,108
9700000US4214850,4214850,"Central Fulton School District, Pennsylvania",6433,235,67,29
9700000US4214880,4214880,"McGuffey School District, Pennsylvania",12916,310,121,71
9700000US4214940,4214940,"McKeesport Area School District, Pennsylvania",31242,231,945,359
9700000US4215030,4215030,"Mechanicsburg Area School District, Pennsylvania",28806,137,568,220
9700000US4215120,4215120,"Mercer Area School District, Pennsylvania",10624,310,165,54
9700000US4215150,4215150,"Meyersdale Area School District, Pennsylvania",7238,272,43,28
9700000US4215170,4215170,"Mid Valley School District, Pennsylvania",15311,21,365,205
9700000US4215210,4215210,"Midd-West School District, Pennsylvania",16913,500,51,41
9700000US4215240,4215240,"Middletown Area School District, Pennsylvania",18283,189,801,270
9700000US4215270,4215270,"Midland Borough School District, Pennsylvania",2619,20,138,145
9700000US4215290,4215290,"Mifflin County School District, Pennsylvania",43549,124,460,67
9700000US4215330,4215330,"Millcreek Township School District, Pennsylvania",53780,53,1008,270
9700000US4215360,4215360,"Millersburg Area School District, Pennsylvania",6696,34,107,94
9700000US4215450,4215450,"Millville Area School District, Pennsylvania",5472,227,89,51
9700000US4215480,4215480,"Milton Area School District, Pennsylvania",16800,245,567,243
9700000US4215510,4215510,"Minersville Area School District, Pennsylvania",8803,241,89,65
9700000US4215540,4215540,"Mohawk Area School District, Pennsylvania",10739,262,133,72
9700000US4215600,4215600,"Monessen City School District, Pennsylvania",7682,22,161,126
9700000US4215660,4215660,"Montgomery Area School District, Pennsylvania",7628,245,157,52
9700000US4215720,4215720,"Montour School District, Pennsylvania",25684,79,280,145
9700000US4215750,4215750,"Montoursville Area School District, Pennsylvania",13261,222,102,65
9700000US4215810,4215810,"Montrose Area School District, Pennsylvania",11868,356,171,62
9700000US4215830,4215830,"Moon Area School District, Pennsylvania",27243,33,621,350
9700000US4215900,4215900,"Morrisville Borough School District, Pennsylvania",8731,23,1183,405
9700000US4215960,4215960,"Moshannon Valley School District, Pennsylvania",8893,274,277,78
9700000US4215990,4215990,"Mount Carmel Area School District, Pennsylvania",12544,139,391,317
9700000US4216020,4216020,"Mount Union Area School District, Pennsylvania",9978,457,157,77
9700000US4216050,4216050,"Mountain View School District, Pennsylvania",8561,418,71,44
9700000US4216110,4216110,"Mt. Lebanon School District, Pennsylvania",33072,43,638,366
9700000US4216170,4216170,"Mount Pleasant Area School District, Pennsylvania",17836,284,58,49
9700000US4216200,4216200,"Muhlenberg School District, Pennsylvania",23615,35,3745,486
9700000US4216230,4216230,"Muncy School District, Pennsylvania",7145,306,60,50
9700000US4216290,4216290,"Greater Nanticoke Area School District, Pennsylvania",18918,300,514,156
9700000US4216380,4216380,"Nazareth Area School District, Pennsylvania",27958,156,754,271
9700000US4216410,4216410,"Neshaminy School District, Pennsylvania",70814,332,2865,730
9700000US4216440,4216440,"Neshannock Township School District, Pennsylvania",9550,27,90,83
9700000US4216500,4216500,"Woodland Hills School District, Pennsylvania",47159,505,740,221
9700000US4216530,4216530,"New Brighton Area School District, Pennsylvania",10851,170,103,61
9700000US4216620,4216620,"New Castle Area School District, Pennsylvania",24193,203,387,96
9700000US4216740,4216740,"New Kensington-Arnold School District, Pennsylvania",18174,29,286,142
9700000US4216860,4216860,"New Hope-Solebury School District, Pennsylvania",11202,21,364,211
9700000US4216890,4216890,"Newport School District, Pennsylvania",7465,274,211,93
9700000US4216980,4216980,"Norristown Area School District, Pennsylvania",63870,33,9319,959
9700000US4217010,4217010,"North Allegheny School District, Pennsylvania",50687,63,472,205
9700000US4217100,4217100,"Moniteau School District, Pennsylvania",9475,232,189,167
9700000US4217130,4217130,"North Clarion County School District, Pennsylvania",4843,307,12,15
9700000US4217160,4217160,"North East School District, Pennsylvania",10644,45,145,102
9700000US4217220,4217220,"North Hills School District, Pennsylvania",37888,26,471,163
9700000US4217280,4217280,"North Penn School District, Pennsylvania",98929,91,3382,560
9700000US4217310,4217310,"North Pocono School District, Pennsylvania",20690,514,461,173
9700000US4217370,4217370,"Northampton Area School District, Pennsylvania",41762,140,1416,388
9700000US4217430,4217430,"Riverside Beaver County School District, Pennsylvania",10535,156,11,18
9700000US4217460,4217460,"Northeast Bradford School District, Pennsylvania",5609,334,45,29
9700000US4217520,4217520,"Northeastern York School District, Pennsylvania",23367,466,1491,676
9700000US4217580,4217580,"Northern Bedford County School District, Pennsylvania",6966,269,56,46
9700000US4217610,4217610,"Northern Cambria School District, Pennsylvania",7774,189,14,31
9700000US4217640,4217640,"Northern Lebanon School District, Pennsylvania",17170,209,649,216
9700000US4217670,4217670,"Northern Lehigh School District, Pennsylvania",12998,164,513,236
9700000US4217700,4217700,"Northern Potter School District, Pennsylvania",4582,205,77,38
9700000US4217730,4217730,"Northern Tioga School District, Pennsylvania",14244,1050,92,48
9700000US4217760,4217760,"Northern York County School District, Pennsylvania",21329,157,589,268
9700000US4217770,4217770,"Northgate School District, Pennsylvania",13050,35,159,138
