GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Total; Margin of Error; Population 16 years and over,In labor force; Estimate; Population 16 years and over,In labor force; Margin of Error; Population 16 years and over,Employed; Estimate; Population 16 years and over,Employed; Margin of Error; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over
9700000US4203600,4203600,"Bethlehem-Center School District, Pennsylvania",7155,309,59.3,2.6,52.8,2.6,10.9,3.2
9700000US4203630,4203630,"Big Beaver Falls Area School District, Pennsylvania",11273,306,58.1,2.5,51.6,2.4,11.2,1.9
9700000US4203660,4203660,"Big Spring School District, Pennsylvania",16839,302,66.8,1.4,62.0,1.4,7.1,1.1
9700000US4203688,4203688,"Blackhawk School District, Pennsylvania",14803,302,60.6,2.1,56.9,2.1,6.0,1.1
9700000US4203690,4203690,"Blacklick Valley School District, Pennsylvania",4349,172,55.0,4.0,50.9,4.0,7.3,2.3
9700000US4203750,4203750,"Blairsville-Saltsburg School District, Pennsylvania",11656,312,58.8,3.1,54.1,3.2,8.0,1.8
9700000US4203840,4203840,"Bloomsburg Area School District, Pennsylvania",18028,347,51.3,3.1,47.6,3.0,7.0,2.1
9700000US4203870,4203870,"Blue Mountain School District, Pennsylvania",17015,304,64.5,2.2,60.0,2.3,6.9,1.3
9700000US4203900,4203900,"Blue Ridge School District, Pennsylvania",6391,265,59.7,2.4,54.2,2.5,8.7,1.9
9700000US4203960,4203960,"Boyertown Area School District, Pennsylvania",37356,468,69.5,1.4,64.0,1.4,7.8,1.0
9700000US4204020,4204020,"Bradford Area School District, Pennsylvania",17273,315,56.0,2.2,49.8,2.2,11.0,1.9
9700000US4204050,4204050,"Brandywine Heights Area School District, Pennsylvania",10951,331,72.3,2.5,67.4,2.6,6.8,1.9
9700000US4204080,4204080,"Brownsville Area School District, Pennsylvania",12844,378,43.1,2.9,37.6,2.9,12.6,3.6
9700000US4204090,4204090,"Bryn Athyn School District, Pennsylvania",1156,102,56.3,6.1,53.0,6.3,5.8,4.9
9700000US4204140,4204140,"Brentwood Borough School District, Pennsylvania",8168,262,68.5,3.6,63.8,3.9,6.7,2.0
9700000US4204200,4204200,"Bristol Borough School District, Pennsylvania",7733,250,63.4,3.9,57.0,4.1,10.1,2.7
9700000US4204230,4204230,"Bristol Township School District, Pennsylvania",44242,553,69.1,1.7,62.0,1.6,10.0,1.3
9700000US4204260,4204260,"Brockway Area School District, Pennsylvania",6014,194,58.0,2.2,53.7,2.2,7.1,1.5
9700000US4204320,4204320,"Brookville Area School District, Pennsylvania",9831,245,57.8,1.8,52.9,1.8,8.3,1.3
9700000US4204500,4204500,"Burgettstown Area School District, Pennsylvania",8212,183,60.7,3.0,55.9,3.1,7.7,2.1
9700000US4204530,4204530,"Burrell School District, Pennsylvania",11743,326,62.3,2.2,57.2,2.5,8.2,2.0
9700000US4204590,4204590,"Butler Area School District, Pennsylvania",44441,352,60.8,1.1,55.9,1.2,8.0,1.0
9700000US4204710,4204710,"California Area School District, Pennsylvania",9830,268,58.3,3.3,52.6,3.2,9.8,3.0
9700000US4204740,4204740,"Cambria Heights School District, Pennsylvania",8000,244,57.1,1.8,52.6,1.9,7.7,1.7
9700000US4204830,4204830,"Cameron County School District, Pennsylvania",4247,24,56.7,2.0,52.7,2.3,7.1,1.9
9700000US4204860,4204860,"Camp Hill School District, Pennsylvania",6405,139,67.2,3.3,63.6,3.4,5.4,1.8
9700000US4204890,4204890,"Canon-McMillan School District, Pennsylvania",27435,340,68.2,1.8,63.2,1.9,7.1,1.3
9700000US4204920,4204920,"Canton Area School District, Pennsylvania",5214,299,56.8,2.3,52.0,2.2,8.5,2.0
9700000US4204980,4204980,"Carbondale Area School District, Pennsylvania",8873,298,59.0,3.0,51.5,3.2,12.6,3.1
