"GeoID","ID_2","Name","Pop_Total","PopForPov","Below_Pov","Pov_Rate","PovUnder18","Pov_18to64","Pov_65Over","HH_Total","HH_SNAP","SNAP_Rate","MHI","PctWhite","PctAfrAm","PctAsian","PctMulti","PctHispLat","Median_Age","LangEngOnl","Lang_Other","MedianRent","Unemp_Rate","Pct_Disabl","Pct_Unins","HU_Total","HU_Occ","HU_Vacant","Pct_HU_Vac","Owner_Occ","Renter_Occ","Pct_Rent","HU_NoVeh","Pct_NoVeh"
"9700000US4204710",4204710,"California Area School District, Pennsylvania",11087,9876,2296,23.2,19.9,28.4,8,4319,544,12.5955082195,39641,90.1145485704,4.8615495626,1.7317579147,3.2290069451,1.0192116894,33.9,96.3,3.7,423,9.8,16.7,7.1,5144,4319,825,16.0381026439,2816,1503,34.7997221579,448,10.3727714749
"9700000US4204740",4204740,"Cambria Heights School District, Pennsylvania",9675,9553,918,9.6,13.2,9,7.5,3955,433,10.9481668774,46095,98.7596899225,0.4651162791,0.1550387597,0.3617571059,1.1162790698,45.7,98.9,1.1,352,7.7,16.7,6.9,4399,3955,444,10.0932030007,3311,644,16.2831858407,301,7.610619469
"9700000US4204830",4204830,"Cameron County School District, Pennsylvania",5000,4923,646,13.1,26,10.8,8.6,2144,314,14.6455223881,41410,98.14,0.76,0.16,0.86,0.56,48.4,98.8,1.2,388,7.1,18.9,8.8,4420,2144,2276,51.4932126697,1533,611,28.4981343284,199,9.2817164179
"9700000US4204860",4204860,"Camp Hill School District, Pennsylvania",7888,7698,397,5.2,6.3,4.7,5.7,3435,122,3.5516739447,65014,91.3793103448,2.4467545639,4.7540567951,1.4072008114,1.965010142,41.5,91,9,780,5.4,10.2,3.3,3581,3435,146,4.0770734432,2451,984,28.6462882096,208,6.0553129549
"9700000US4204890",4204890,"Canon-McMillan School District, Pennsylvania",34023,33711,1725,5.1,5.4,4.6,6.7,13930,942,6.7623833453,59146,93.169326632,2.8862828087,1.393175205,2.2602357229,1.363783323,42.5,95.4,4.6,611,7.1,12,6.7,15307,13930,1377,8.995884236,10760,3170,22.7566403446,540,3.8765254846
"9700000US4204920",4204920,"Canton Area School District, Pennsylvania",6662,6604,1119,16.9,23.1,16.4,10.6,2508,413,16.4673046252,41322,99.5196637646,0.1350945662,0.0600420294,0.2851996397,0.2701891324,40.4,97.1,2.9,395,8.5,15.8,19,3110,2508,602,19.3569131833,1722,786,31.3397129187,183,7.2966507177
"9700000US4204980",4204980,"Carbondale Area School District, Pennsylvania",10920,10686,2236,20.9,38.8,16.8,14.3,4700,926,19.7021276596,33390,96.6117216117,0.9981684982,0.3571428571,0.3113553114,4.0659340659,42.9,95.2,4.8,442,12.6,19.2,10.3,5408,4700,708,13.0917159763,2926,1774,37.7446808511,620,13.1914893617
"9700000US4205010",4205010,"Carlisle Area School District, Pennsylvania",37064,33948,4105,12.1,19.2,11.1,5.8,14401,1292,8.9715991945,52331,88.3444852148,5.6200086337,2.3688754587,2.8976904813,3.0757608461,38,92.9,7.1,627,7.1,12.1,7.3,15586,14401,1185,7.6029770307,9121,5280,36.6641205472,989,6.8675786404
"9700000US4205040",4205040,"Carlynton School District, Pennsylvania",14415,14408,2340,16.2,34.9,12.5,9.6,6798,879,12.9302736099,44349,89.5941727367,6.4377384669,0.2913631634,3.121748179,0.9989594173,39.6,94.9,5.1,556,6.8,14.8,10.5,7499,6798,701,9.3479130551,3541,3257,47.9111503383,912,13.4157105031
"9700000US4205070",4205070,"Carmichaels Area School District, Pennsylvania",6925,6873,1047,15.2,23.4,14,8.3,3014,497,16.4897146649,37990,97.2418772563,0.5342960289,0.2888086643,1.761732852,0.3321299639,41.6,95.9,4.1,362,8.8,21.6,7.8,3348,3014,334,9.9761051374,2184,830,27.5381552754,377,12.5082946251
"9700000US4205160",4205160,"Catasauqua Area School District, Pennsylvania",10898,10895,910,8.4,14.9,7.2,5.1,4537,505,11.1307031078,49961,90.7322444485,3.8814461369,1.0552394935,1.4498073041,9.7265553313,42,85.6,14.4,791,8.9,16.8,10.7,4904,4537,367,7.4836867863,2654,1883,41.5031959445,423,9.323341415
"9700000US4205190",4205190,"Centennial School District, Pennsylvania",48962,48299,3147,6.5,8.7,6.3,5.2,18494,1016,5.4936736239,63986,91.5485478534,1.5910297782,2.3916506679,0.741391283,7.1443160002,45.6,84,16,1059,9,12.4,8,19159,18494,665,3.4709535988,13992,4502,24.3430301719,1036,5.6018168055
"9700000US4205310",4205310,"Central Bucks School District, Pennsylvania",114689,110796,4658,4.2,4.8,3.7,5.1,40288,738,1.8318109611,97386,92.7717566637,1.6732206227,3.8329743916,1.3166040335,2.3602961051,41.9,91.1,8.9,1153,6.5,7.8,4.3,42146,40288,1858,4.408484791,34154,6134,15.2253772836,1386,3.4402303415
"9700000US4205340",4205340,"Central Cambria School District, Pennsylvania",13722,12992,1287,9.9,15.1,9.2,5.9,5340,485,9.0823970037,52009,97.77729194,1.5886896954,0.320652966,0.1311762134,0.2332021571,44.1,98.1,1.9,499,4.5,16.1,6.2,5791,5340,451,7.787946814,4043,1297,24.2883895131,345,6.4606741573
"9700000US4205370",4205370,"Central Columbia School District, Pennsylvania",15201,15020,1386,9.2,8.7,8.8,11.4,6165,461,7.4776966748,57344,96.9475692389,0.828892836,1.2301822249,0.69074403,1.1578185646,45.3,96.5,3.5,524,4.5,10.8,6.5,6441,6165,276,4.2850489054,5116,1049,17.0154095702,241,3.9091646391
"9700000US4205400",4205400,"Central Dauphin School District, Pennsylvania",90928,87894,6699,7.6,11.7,7,4,36388,2183,5.9992305156,63820,77.611956713,12.6264736935,3.7810135492,3.4224881225,6.1323244765,40.2,89.9,10.1,760,6.2,10.3,8.8,38846,36388,2458,6.3275498121,25173,11215,30.8206001979,1456,4.0013191162
"9700000US4205430",4205430,"Central Greene School District, Pennsylvania",15869,11769,1709,14.5,15.8,15.6,8.8,5054,721,14.2659279778,47266,85.6134602054,10.9899804651,0.4285084126,1.6069065474,2.5710504758,38.6,94.9,5.1,448,8,15.5,11,5652,5054,598,10.5803255485,3246,1808,35.7736446379,476,9.4182825485
"9700000US4205460",4205460,"Crestwood School District, Pennsylvania",20150,19923,845,4.2,2.5,4.9,4,7589,386,5.0863091316,69697,97.1910669975,0.4714640199,1.4193548387,0.6004962779,1.0868486352,43.3,95.2,4.8,546,6.5,10.9,6.1,8474,7589,885,10.4437101723,6728,861,11.3453682962,202,2.6617472658
"9700000US4205490",4205490,"Central York School District, Pennsylvania",37272,34004,1728,5.1,5.9,4.3,6.9,13366,665,4.9753104893,64725,83.4460184589,9.2509122129,3.0612792445,3.1337196823,3.8903198111,41,91.7,8.3,791,6.2,11.9,8,13927,13366,561,4.0281467653,10801,2565,19.1904833159,606,4.5338919647
